file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00046_05701.100-05704.900,དེའི་རྒྱབ་ལོགས་ལ་ཡ། ད་ཁོ། ཁོས་དེ་འདྲའི་བྱས་ཤག མི། ཡག་པོ་རེད་ད་ཟེ་བྱས་ནས། བསྟོད་ར་བཏང་བཞག་ན།  ,de'i rgyab logs la ya/_da kho/_khos de 'dra'i byas shag_mi/_yag po red da ze byas nas/_bstod ra btang bzhag na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00046_05701.100-05704.900.wav,STT_TT,3,93,3.799999999999272,wav16k/STT_TT00046_05701.100-05704.900.wav,དེའི་རྒྱབ་ལོགས་ལ་ཡ། ད་མ་ཁོས་དེ་འདྲའི་བྱས་ཤག མི་ཡག་པོ་རེད་ད་ཟེ་བྱས་ནས་བསྟོད་ར་བཏང་བཞག་ན།
STT_TT00042_08098.400-08100.750,ཁོ་རའི་ཉམས་ལེན་བྱེད་ཡ་གི་ལམ་ཡོངས་རྫོགས་ལོ། ད་དེའི་ནང་ལ།  ,kho ra'i nyams len byed ya gi lam yongs rdzogs lo/_da de'i nang la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00042_08098.400-08100.750.wav,STT_TT,3,57,2.350000000000364,wav16k/STT_TT00042_08098.400-08100.750.wav,ཁོ་རསི་ཉམས་ལེན་བྱེད་ཡ་གི་ལམ་ཡོངས་རྫོགས་ལོ། ད་དེའི་ནང་ལ།
STT_NS_M0034_0041_293304_to_298847,ང་ཡོད་བ་ད་འདི་དྲི་བ་དེ་ལ་ཡོད་བ་སྐད་ཆ་བཤད་ཡ་ལབ་ན་ད་ཡོད་བ་ང་ཚོ་ག་རེ་ལབ་དགོས་རེད་ད།  ,nga yod ba da 'di dri ba de la yod ba skad cha bshad ya lab na da yod ba nga tsho ga re lab dgos red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0034_0041_293304_to_298847.wav,STT_NS,3,82,5.543,wav16k/STT_NS_M0034_0041_293304_to_298847.wav,ཡི་ན་ཡོད་བ།ད་འདིའི་དྲི་བ་དེ་ལ་ཡོད་བ། སྐད་ཆ་བཤད་ཡ་ལབ་ན་ད་ཡོད་བ་ ང་ཚོ་ག་རེ་ལབ་དགོས་རེད་ད།
STT_TT00519_0617_3591100_to_3593609,གསང་བ་འདུས་པའི་སྒྲུབ་ཐབ་ཟེར་ནས། བསྐྱེད་རིམ་ལ་མིང་བཏགས་རྒྱུ་མི་འདུག་བཱ།  ,gsang ba 'dus pa'i sgrub thab zer nas/_bskyed rim la ming btags rgyu mi 'dug bA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00519_0617_3591100_to_3593609.wav,STT_TT,3,72,2.509,wav16k/STT_TT00519_0617_3591100_to_3593609.wav,གསང་བ་འདུས་པའི་སྒྲུབ་ཐོབ་ཟེར་ནས། བསྐྱེད་རིམ་ལ་མིང་བཏགས་རྒྱུ་མི་འདུག་ག།
STT_TT00571_0011_66356_to_71578,དེ་འདྲ་བའི་དགེ་སློང་གཞན་ཞིག་ལ་ཕམ་པ་དང་ལྷག་མ་གང་རུང་བྱུང་བ་དེ་ཁོ་ལ་དེ་བྱུང་། བྱུང་སོང་ཟེ་སྐད་ཆ་དེ།  ,de 'dra ba'i dge slong gzhan zhig la pham pa dang lhag ma gang rung byung ba de kho la de byung /_byung song ze skad cha de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00571_0011_66356_to_71578.wav,STT_TT,3,99,5.222,wav16k/STT_TT00571_0011_66356_to_71578.wav,དེ་འདྲ་བའི་དགེ་སློང་གཞན་གྱིག་ལ་ཕམ་པ་དང་ལྷག་མ་གང་རུང་བྱུང་བ་དེ། ཁོ་ལ་དེ་ྱུང་བྱུང་སོང་ཟེ། སྐད་ཆ་དེ།
STT_TT00042_05240.150-05241.550,ཚིག་རང་མཁས་པ་མི་ཤེས་ཤིང་།  ,tshig rang mkhas pa mi shes shing /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00042_05240.150-05241.550.wav,STT_TT,3,27,1.4000000000005457,wav16k/STT_TT00042_05240.150-05241.550.wav,ཚིག་རང་མཁས་པ་མི་ཤེས་ཤིང་།
STT_TT00044_03941.750-03942.950,ལས་ངོ་མ་ད་ཡོད་མ་རེད་དེ།  ,las ngo ma da yod ma red de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00044_03941.750-03942.950.wav,STT_TT,3,25,1.199999999999818,wav16k/STT_TT00044_03941.750-03942.950.wav,ལས་ངོ་མ་ལྟ་ཡོད་མ་རེད་དེ།
STT_TT00038_00998.450-00999.100,དེ་ནས་ ,de nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00038_00998.450-00999.100.wav,STT_TT,3,7,0.6499999999999773,wav16k/STT_TT00038_00998.450-00999.100.wav,དེ་ནས།
STT_TT00041_01031.250-01035.400,ཨེ་ནས། གཡས་གཡོན་ངོ་ཤེས་པ་ཚང་མ་ལོ་གིས། མི་དེ་ཡག་པོ་ཡོད་ཟེ་བྱས་ནས། བསྟོད་ར་གཏང་གི་རེད་བ།  ,e nas/_g.yas g.yon ngo shes pa tshang ma lo gis/_mi de yag po yod ze byas nas/_bstod ra gtang gi red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00041_01031.250-01035.400.wav,STT_TT,3,88,4.150000000000091,wav16k/STT_TT00041_01031.250-01035.400.wav,ཨེ་ནས། གཡས་གཡོན་ངོ་ཤེས་པ་ཚང་མ་ལོ་གིས། མི་དེ་ཡག་པོ་ཡོད་ཟེ་བྱས་ནས། བསྟོད་ར་གཏང་གི་རེད་བ།
STT_NS_M0035_0325_2373401_to_2379400,ད་ཡོད་བ། ག་རེ་བྱས་ནས་ལབ་ན་ད་དེ་ཚོ་ཡང་ང་ཚོ་བྱེད་ཐུབ་ཀི་རཱ་ད། ང་ཚོ་སློབ་སྦྱོང་ཡོད་མྱི་མི་དེ་ཚོ་ད་དེ་ཚོ་གལ་སྲིད།  ,da yod ba/_ga re byas nas lab na da de tsho yang nga tsho byed thub ki rA da/_nga tsho slob sbyong yod myi mi de tsho da de tsho gal srid/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0035_0325_2373401_to_2379400.wav,STT_NS,3,111,5.999,wav16k/STT_NS_M0035_0325_2373401_to_2379400.wav,ད་ཡོད་བ། ག་རེ་བྱས་ནས་ལབ་ན་ད་དེ་ཚོ་ཡང་ང་ཚོ་བྱེད་ཐུབ་ཀི་རེད་ད། ང་ཚོ་སློབ་སྦྱོང་ཡོད་མྱི་མི་དེ་ཚོས་ད་དེ་ཚོ་གལ་སྲིད།
